year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2013-03-02,133987.16441351833,812528.8230106276,2155111.147238868,4537130.869746837,3648540.1403695387,128756.4845680281
2013-03-03,133981.76119883652,812561.3762619114,2155362.1950059477,4537786.088930532,3649043.1588157127,128751.9292529979
2013-03-04,133976.2933080375,812594.3040334499,2155614.6202149866,4538445.153623119,3649549.2925440706,128747.45000164534
2013-03-05,133970.76074112134,812627.6063252431,2155868.422865986,4539108.0638246015,3650058.541554616,128743.0468139705
2013-03-06,133965.16349808802,812661.2831372917,2156123.6029589446,4539774.819534977,3650570.905847349,128738.71968997337
2013-03-07,133959.50157893752,812695.3344695948,2156380.160493863,4540445.420754246,3651086.3854222666,128734.46862965386
2013-03-08,133953.7749836698,812729.7603221526,2156638.0954707395,4541119.867482407,3651604.9802793707,128730.29363301206
2013-03-09,133947.98371228497,812764.5606949655,2156897.407889577,4541798.159719463,3652126.6904186616,128726.19470004796
2013-03-10,133942.12776478293,812799.7355880332,2157158.097750373,4542480.297465411,3652651.5158401383,128722.17183076151
2013-03-11,133936.20714116373,812835.2850013558,2157420.1650531297,4543166.280720253,3653179.4565438014,128718.22502515276
2013-03-12,133930.22184142735,812871.2089349333,2157683.609797845,4543856.109483988,3653710.5125296502,128714.35428322169
2013-03-13,133924.1718655738,812907.5073887656,2157948.4319845205,4544549.783756616,3654244.683797686,128710.5596049683
2013-03-14,133918.05721360305,812944.1803628525,2158214.631613155,4545247.303538138,3654781.970347908,128706.84099039258
2013-03-15,133911.8778855152,812981.2278571946,2158482.208683749,4545948.668828554,3655322.3721803166,128703.19843949459
2013-03-16,133905.63388131012,813018.6498717916,2158751.163196303,4546653.879627863,3655865.8892949107,128699.63195227426
2013-03-17,133899.32520098786,813056.4464066433,2159021.495150816,4547362.935936064,3656412.521691691,128696.14152873159
